product,filename,timestamp,resolution,variables,size_MB
CMP,3RIMG_15JUL2025_0145_L2C_CMP_V02R00.h5,15-07-2025 01:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0215_L2C_CMP_V02R00.h5,15-07-2025 02:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0245_L2C_CMP_V02R00.h5,15-07-2025 02:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0315_L2C_CMP_V02R00.h5,15-07-2025 03:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0345_L2C_CMP_V02R00.h5,15-07-2025 03:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0415_L2C_CMP_V02R00.h5,15-07-2025 04:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0445_L2C_CMP_V02R00.h5,15-07-2025 04:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0515_L2C_CMP_V02R00.h5,15-07-2025 05:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0545_L2C_CMP_V02R00.h5,15-07-2025 05:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0615_L2C_CMP_V02R00.h5,15-07-2025 06:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0645_L2C_CMP_V02R00.h5,15-07-2025 06:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0715_L2C_CMP_V02R00.h5,15-07-2025 07:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0745_L2C_CMP_V02R00.h5,15-07-2025 07:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0815_L2C_CMP_V02R00.h5,15-07-2025 08:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0845_L2C_CMP_V02R00.h5,15-07-2025 08:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0915_L2C_CMP_V02R00.h5,15-07-2025 09:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_0945_L2C_CMP_V02R00.h5,15-07-2025 09:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_1015_L2C_CMP_V02R00.h5,15-07-2025 10:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_1045_L2C_CMP_V02R00.h5,15-07-2025 10:45,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_1115_L2C_CMP_V02R00.h5,15-07-2025 11:15,3207x3062,"CER,COD",
CMP,3RIMG_15JUL2025_1145_L2C_CMP_V02R00.h5,15-07-2025 11:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0145_L2C_CMP_V02R00.h5,16-07-2025 01:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0215_L2C_CMP_V02R00.h5,16-07-2025 02:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0245_L2C_CMP_V02R00.h5,16-07-2025 02:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0315_L2C_CMP_V02R00.h5,16-07-2025 03:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0345_L2C_CMP_V02R00.h5,16-07-2025 03:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0415_L2C_CMP_V02R00.h5,16-07-2025 04:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0445_L2C_CMP_V02R00.h5,16-07-2025 04:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0515_L2C_CMP_V02R00.h5,16-07-2025 05:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0545_L2C_CMP_V02R00.h5,16-07-2025 05:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0615_L2C_CMP_V02R00.h5,16-07-2025 06:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0645_L2C_CMP_V02R00.h5,16-07-2025 06:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0715_L2C_CMP_V02R00.h5,16-07-2025 07:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0745_L2C_CMP_V02R00.h5,16-07-2025 07:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0815_L2C_CMP_V02R00.h5,16-07-2025 08:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0845_L2C_CMP_V02R00.h5,16-07-2025 08:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0915_L2C_CMP_V02R00.h5,16-07-2025 09:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_0945_L2C_CMP_V02R00.h5,16-07-2025 09:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_1015_L2C_CMP_V02R00.h5,16-07-2025 10:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_1045_L2C_CMP_V02R00.h5,16-07-2025 10:45,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_1115_L2C_CMP_V02R00.h5,16-07-2025 11:15,3207x3062,"CER,COD",
CMP,3RIMG_16JUL2025_1145_L2C_CMP_V02R00.h5,16-07-2025 11:45,3207x3062,"CER,COD",
HEM,3RIMG_15JUL2025_0015_L3B_HEM_DLY_V01R00.h5,15-07-2025 00:15,2816x2805,HEM_DLY,
HEM,3RIMG_16JUL2025_0015_L3B_HEM_DLY_V01R00.h5,16-07-2025 00:15,2816x2805,HEM_DLY,
IMC,3RIMG_15JUL2025_0015_L2B_IMC_V01R00.h5,15-07-2025 00:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0045_L2B_IMC_V01R00.h5,15-07-2025 00:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0115_L2B_IMC_V01R00.h5,15-07-2025 01:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0145_L2B_IMC_V01R00.h5,15-07-2025 01:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0215_L2B_IMC_V01R00.h5,15-07-2025 02:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0245_L2B_IMC_V01R00.h5,15-07-2025 02:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0315_L2B_IMC_V01R00.h5,15-07-2025 03:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0345_L2B_IMC_V01R00.h5,15-07-2025 03:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0415_L2B_IMC_V01R00.h5,15-07-2025 04:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0445_L2B_IMC_V01R00.h5,15-07-2025 04:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0515_L2B_IMC_V01R00.h5,15-07-2025 05:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0545_L2B_IMC_V01R00.h5,15-07-2025 05:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0615_L2B_IMC_V01R00.h5,15-07-2025 06:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0645_L2B_IMC_V01R00.h5,15-07-2025 06:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0715_L2B_IMC_V01R00.h5,15-07-2025 07:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0745_L2B_IMC_V01R00.h5,15-07-2025 07:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0815_L2B_IMC_V01R00.h5,15-07-2025 08:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0845_L2B_IMC_V01R00.h5,15-07-2025 08:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0915_L2B_IMC_V01R00.h5,15-07-2025 09:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_0945_L2B_IMC_V01R00.h5,15-07-2025 09:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1015_L2B_IMC_V01R00.h5,15-07-2025 10:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1045_L2B_IMC_V01R00.h5,15-07-2025 10:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1115_L2B_IMC_V01R00.h5,15-07-2025 11:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1145_L2B_IMC_V01R00.h5,15-07-2025 11:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1215_L2B_IMC_V01R00.h5,15-07-2025 12:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1245_L2B_IMC_V01R00.h5,15-07-2025 12:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1315_L2B_IMC_V01R00.h5,15-07-2025 13:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1345_L2B_IMC_V01R00.h5,15-07-2025 13:45,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1415_L2B_IMC_V01R00.h5,15-07-2025 14:15,2816x2805,IMC,
IMC,3RIMG_15JUL2025_1445_L2B_IMC_V01R00.h5,15-07-2025 14:45,2816x2805,IMC,
