date,grid_id,CMP_cloud_mean
2023-06-01,0,0.344
2023-06-01,1,0.219
2023-06-01,2,0.421
2023-06-01,3,0.113
2023-06-01,4,0.839
2023-06-01,5,0.3
2023-06-01,6,0.508
2023-06-01,7,0.952
2023-06-01,8,0.153
2023-06-01,9,0.622
2023-06-01,10,0.751
2023-06-01,11,0.48
2023-06-01,12,0.303
2023-06-01,13,0.872
2023-06-01,14,0.106
2023-06-01,15,0.701
2023-06-01,16,0.714
2023-06-01,17,0.073
2023-06-01,18,0.243
2023-06-01,19,0.43
2023-06-01,20,0.654
2023-06-01,21,0.316
2023-06-01,22,0.508
2023-06-01,23,0.824
2023-06-01,24,0.796
2023-06-01,25,0.113
2023-06-01,26,0.418
2023-06-01,27,0.663
2023-06-01,28,0.762
2023-06-01,29,0.286
2023-06-01,30,0.238
2023-06-01,31,0.655
2023-06-01,32,0.844
2023-06-01,33,0.259
2023-06-01,34,0.645
2023-06-01,35,0.481
2023-06-01,36,0.867
2023-06-01,37,0.329
2023-06-01,38,0.43
2023-06-01,39,0.287
2023-06-01,40,0.298
2023-06-01,41,0.584
2023-06-01,42,0.708
2023-06-01,43,0.552
2023-06-01,44,0.684
2023-06-01,45,0.159
2023-06-01,46,0.154
2023-06-01,47,0.903
2023-06-01,48,0.949
2023-06-01,49,0.587
2023-06-01,50,0.884
2023-06-01,51,0.276
2023-06-01,52,0.627
2023-06-01,53,0.424
2023-06-01,54,0.396
2023-06-01,55,0.76
2023-06-01,56,0.01
2023-06-01,57,0.296
2023-06-01,58,0.379
2023-06-01,59,0.386
2023-06-01,60,0.672
2023-06-01,61,0.965
2023-06-01,62,0.392
2023-06-01,63,0.046
2023-06-01,64,0.229
2023-06-01,65,0.621
2023-06-01,66,0.346
2023-06-01,67,0.934
2023-06-01,68,0.487
2023-06-01,69,0.214
2023-06-01,70,0.014
2023-06-01,71,0.354
2023-06-01,72,0.218
2023-06-01,73,0.236
2023-06-01,74,0.64
2023-06-01,75,0.912
2023-06-01,76,0.009
2023-06-01,77,0.48
2023-06-01,78,0.116
2023-06-01,79,0.376
2023-06-01,80,0.544
2023-06-01,81,0.747
2023-06-01,82,0.914
2023-06-01,83,0.614
2023-06-01,84,0.208
2023-06-01,85,0.475
2023-06-01,86,0.57
2023-06-01,87,0.336
2023-06-01,88,0.276
2023-06-01,89,0.019
2023-06-01,90,0.684
2023-06-01,91,0.692
2023-06-01,92,0.681
2023-06-01,93,0.199
2023-06-01,94,0.614
2023-06-01,95,0.368
2023-06-01,96,0.48
2023-06-01,97,0.772
2023-06-01,98,0.183
2023-06-01,99,0.058
2023-06-01,100,0.661
2023-06-01,101,0.099
2023-06-01,102,0.381
2023-06-01,103,0.232
2023-06-01,104,0.616
2023-06-01,105,0.473
2023-06-01,106,0.878
2023-06-01,107,0.294
2023-06-01,108,0.928
2023-06-01,109,0.969
2023-06-01,110,0.907
2023-06-01,111,0.987
2023-06-01,112,0.894
2023-06-01,113,0.138
2023-06-01,114,0.691
2023-06-01,115,0.598
2023-06-01,116,0.998
2023-06-01,117,0.773
2023-06-01,118,0.66
2023-06-01,119,0.267
2023-06-01,120,0.292
2023-06-01,121,0.912
2023-06-01,122,0.055
2023-06-01,123,0.75
2023-06-01,124,0.631
2023-06-01,125,0.281
2023-06-01,126,0.04
2023-06-01,127,0.283
2023-06-01,128,0.624
2023-06-01,129,0.046
2023-06-01,130,0.77
2023-06-01,131,0.314
2023-06-01,132,0.603
2023-06-01,133,0.976
2023-06-01,134,0.082
2023-06-01,135,0.008
2023-06-01,136,0.299
2023-06-01,137,0.893
2023-06-01,138,0.492
2023-06-01,139,0.226
2023-06-01,140,0.111
2023-06-01,141,0.234
2023-06-01,142,0.705
2023-06-01,143,0.268
2023-06-01,144,0.54
2023-06-01,145,0.021
2023-06-01,146,0.057
2023-06-01,147,0.666
2023-06-01,148,0.002
2023-06-01,149,0.19
2023-06-01,150,0.212
2023-06-01,151,0.848
2023-06-01,152,0.95
2023-06-01,153,0.248
2023-06-01,154,0.03
2023-06-01,155,0.678
2023-06-01,156,0.274
2023-06-01,157,0.0
2023-06-01,158,0.523
2023-06-01,159,0.704
2023-06-01,160,0.907
2023-06-01,161,0.41
2023-06-01,162,0.711
2023-06-01,163,0.948
2023-06-01,164,0.306
2023-06-01,165,0.34
2023-06-01,166,0.941
2023-06-01,167,0.212
2023-06-01,168,0.137
2023-06-01,169,0.081
2023-06-01,170,0.937
2023-06-01,171,0.272
2023-06-01,172,0.516
2023-06-01,173,0.995
2023-06-01,174,0.834
2023-06-01,175,0.272
2023-06-01,176,0.584
2023-06-01,177,0.606
2023-06-01,178,0.923
2023-06-01,179,0.901
2023-06-01,180,0.195
