date,grid_id,LST_mean,LST_max
2023-06-01,0,27.2,36.0
2023-06-01,1,25.5,34.1
2023-06-01,2,31.8,46.6
2023-06-01,3,34.5,47.9
2023-06-01,4,29.9,38.7
2023-06-01,5,33.3,40.9
2023-06-01,6,28.1,38.7
2023-06-01,7,22.0,35.7
2023-06-01,8,35.6,49.400000000000006
2023-06-01,9,37.1,51.8
2023-06-01,10,33.4,40.0
2023-06-01,11,19.3,24.9
2023-06-01,12,42.9,55.099999999999994
2023-06-01,13,24.4,36.7
2023-06-01,14,30.2,41.1
2023-06-01,15,36.3,48.8
2023-06-01,16,24.3,36.6
2023-06-01,17,40.7,51.1
2023-06-01,18,20.1,33.7
2023-06-01,19,30.1,39.1
2023-06-01,20,26.1,34.900000000000006
2023-06-01,21,25.0,34.9
2023-06-01,22,16.8,30.3
2023-06-01,23,41.0,50.4
2023-06-01,24,34.0,41.9
2023-06-01,25,40.7,46.5
2023-06-01,26,25.4,33.199999999999996
2023-06-01,27,36.2,47.7
2023-06-01,28,25.4,34.0
2023-06-01,29,28.0,42.8
2023-06-01,30,18.3,26.0
2023-06-01,31,20.7,32.7
2023-06-01,32,39.2,48.6
2023-06-01,33,20.3,29.9
2023-06-01,34,32.4,40.5
2023-06-01,35,22.0,29.8
2023-06-01,36,29.2,38.6
2023-06-01,37,34.9,42.8
2023-06-01,38,26.7,39.4
2023-06-01,39,31.9,39.699999999999996
2023-06-01,40,29.5,43.8
2023-06-01,41,15.8,30.1
2023-06-01,42,32.8,41.099999999999994
2023-06-01,43,22.7,34.8
2023-06-01,44,43.9,52.2
2023-06-01,45,27.4,40.099999999999994
2023-06-01,46,35.9,47.7
2023-06-01,47,32.0,42.1
2023-06-01,48,15.1,29.2
2023-06-01,49,34.2,46.0
2023-06-01,50,29.4,35.3
2023-06-01,51,37.6,45.6
2023-06-01,52,31.2,43.8
2023-06-01,53,34.3,45.0
2023-06-01,54,24.3,37.5
2023-06-01,55,29.4,44.099999999999994
2023-06-01,56,25.6,35.2
2023-06-01,57,29.1,42.3
2023-06-01,58,30.0,42.2
