date,grid_id,WDP_wind_mean,WDP_vorticity,WDP_shear
2023-06-01,0,26.07,-5.6215,25.86
2023-06-01,1,0.36,2.3833,14.58
2023-06-01,2,31.48,11.0674,9.74
2023-06-01,3,23.7,-3.9597,10.17
2023-06-01,4,29.1,8.0918,28.67
2023-06-01,5,18.36,-7.0001,28.43
2023-06-01,6,7.06,-1.4408,19.43
2023-06-01,7,41.35,6.2701,19.52
2023-06-01,8,44.8,-0.0898,23.11
2023-06-01,9,23.51,3.8015,29.69
2023-06-01,10,46.5,0.1827,7.36
2023-06-01,11,41.89,3.5075,16.74
2023-06-01,12,10.12,1.5618,9.05
2023-06-01,13,24.92,-9.8878,19.81
2023-06-01,14,38.06,2.494,9.73
2023-06-01,15,36.93,6.0687,15.02
2023-06-01,16,23.78,5.4627,24.34
2023-06-01,17,48.13,-2.9615,23.87
2023-06-01,18,9.73,-2.4592,27.86
2023-06-01,19,33.14,6.9502,10.65
2023-06-01,20,16.8,-0.3443,17.75
2023-06-01,21,0.26,4.9091,10.69
2023-06-01,22,27.84,-9.5562,17.97
2023-06-01,23,44.06,0.5414,14.62
2023-06-01,24,43.93,3.0726,17.53
2023-06-01,25,44.84,7.3222,10.09
2023-06-01,26,35.82,-1.4335,6.35
2023-06-01,27,45.08,-2.4775,27.87
2023-06-01,28,38.83,10.0582,28.88
2023-06-01,29,25.97,-2.2135,23.11
2023-06-01,30,9.37,2.8607,1.68
2023-06-01,31,29.14,8.242,29.8
2023-06-01,32,29.84,-3.4717,2.71
2023-06-01,33,39.6,-7.1351,0.53
2023-06-01,34,28.13,-0.8067,6.31
2023-06-01,35,16.81,1.8511,1.04
2023-06-01,36,20.5,7.2328,12.16
2023-06-01,37,43.56,6.0728,29.14
2023-06-01,38,13.99,5.104,6.38
2023-06-01,39,33.01,6.0549,3.9
2023-06-01,40,40.62,1.9542,24.57
2023-06-01,41,1.74,-5.5007,2.33
2023-06-01,42,45.69,6.3513,25.31
2023-06-01,43,9.91,-4.5004,27.87
2023-06-01,44,11.25,-0.0307,10.0
2023-06-01,45,17.1,4.9394,4.7
2023-06-01,46,25.36,4.6474,10.11
2023-06-01,47,7.03,0.4616,11.37
2023-06-01,48,15.96,-0.874,0.56
2023-06-01,49,23.86,6.0474,3.64
2023-06-01,50,6.89,5.4055,6.75
2023-06-01,51,19.05,2.2844,6.65
2023-06-01,52,29.16,5.6348,27.69
2023-06-01,53,18.55,0.4623,7.25
2023-06-01,54,32.45,-4.5529,16.61
2023-06-01,55,0.07,5.0298,19.08
2023-06-01,56,38.75,4.2189,27.73
2023-06-01,57,37.69,5.8086,21.78
2023-06-01,58,3.3,-3.1458,3.56
2023-06-01,59,4.43,2.1752,28.46
2023-06-01,60,32.57,-3.709,23.86
2023-06-01,61,5.28,-2.2296,2.28
2023-06-01,62,44.19,-2.4269,9.52
2023-06-01,63,31.55,-3.0691,10.42
2023-06-01,64,14.31,-1.3261,5.78
2023-06-01,65,0.44,6.1947,25.23
2023-06-01,66,23.28,2.646,3.54
2023-06-01,67,4.0,-7.179,10.34
2023-06-01,68,26.14,2.8257,7.38
2023-06-01,69,28.27,3.8753,18.89
2023-06-01,70,36.35,-4.2866,6.43
2023-06-01,71,38.9,2.9057,4.61
2023-06-01,72,39.7,-0.0698,23.72
2023-06-01,73,3.27,0.5154,18.69
2023-06-01,74,21.84,0.6521,18.11
2023-06-01,75,40.09,5.1758,3.57
2023-06-01,76,12.38,-2.3642,2.93
2023-06-01,77,23.76,2.5508,4.46
2023-06-01,78,43.7,2.3029,29.4
2023-06-01,79,18.2,-0.242,27.84
2023-06-01,80,7.96,6.647,28.68
2023-06-01,81,0.6,0.3822,10.3
2023-06-01,82,13.09,1.9672,6.52
2023-06-01,83,17.22,0.7853,10.58
2023-06-01,84,14.77,13.9292,22.46
2023-06-01,85,19.89,5.4673,16.77
2023-06-01,86,3.06,3.7556,22.31
2023-06-01,87,46.68,4.9206,20.99
2023-06-01,88,47.24,3.3939,5.08
2023-06-01,89,6.81,-3.9678,4.09
2023-06-01,90,43.26,3.1696,5.15
2023-06-01,91,22.06,6.3726,12.7
2023-06-01,92,7.08,-5.9875,12.63
2023-06-01,93,35.17,5.0917,28.51
2023-06-01,94,44.29,0.5051,0.79
2023-06-01,95,49.52,0.2283,6.23
2023-06-01,96,32.59,-6.0601,10.44
2023-06-01,97,12.39,-1.3744,19.06
2023-06-01,98,32.39,-2.057,1.48
2023-06-01,99,24.26,-4.7967,22.5
2023-06-01,100,19.29,1.4926,11.8
2023-06-01,101,47.56,-1.7916,16.29
2023-06-01,102,22.16,5.5518,28.05
2023-06-01,103,14.24,0.6258,5.95
2023-06-01,104,21.76,0.9373,12.91
2023-06-01,105,32.21,1.0825,10.58
2023-06-01,106,41.12,-1.4341,26.05
2023-06-01,107,6.19,-3.9489,13.8
2023-06-01,108,43.81,2.6281,16.12
2023-06-01,109,29.96,10.2113,23.14
2023-06-01,110,26.19,-7.0767,1.94
2023-06-01,111,21.84,1.6582,4.79
2023-06-01,112,14.16,9.3008,15.95
2023-06-01,113,13.4,8.586,5.35
2023-06-01,114,42.24,8.8344,20.84
2023-06-01,115,14.45,4.3188,26.36
2023-06-01,116,19.51,-4.6628,5.68
2023-06-01,117,15.06,6.959,0.65
2023-06-01,118,41.04,-11.021,21.23
2023-06-01,119,0.57,-1.3193,10.19
2023-06-01,120,36.24,4.0385,1.87
2023-06-01,121,5.55,-5.8702,22.23
2023-06-01,122,16.51,2.5401,24.8
2023-06-01,123,2.31,-6.0108,20.18
2023-06-01,124,12.2,2.1406,10.26
2023-06-01,125,47.06,-4.5404,1.32
2023-06-01,126,33.81,-5.0954,24.49
2023-06-01,127,3.94,3.179,3.68
2023-06-01,128,0.7,0.6747,10.42
2023-06-01,129,12.74,3.9397,22.44
2023-06-01,130,0.77,-2.3815,2.49
2023-06-01,131,15.43,5.5538,27.17
2023-06-01,132,23.89,1.345,24.93
2023-06-01,133,33.54,7.9635,10.05
2023-06-01,134,42.84,-5.9709,10.86
2023-06-01,135,26.41,-4.388,26.33
2023-06-01,136,33.61,4.0383,21.07
2023-06-01,137,38.25,-4.8826,20.47
2023-06-01,138,32.75,5.3203,15.05
2023-06-01,139,19.74,-9.0654,8.37
2023-06-01,140,36.84,-11.5571,7.42
2023-06-01,141,18.62,3.6291,9.85
2023-06-01,142,37.08,-1.7327,21.35
2023-06-01,143,15.58,0.9149,18.62
2023-06-01,144,27.53,-0.8492,18.8
2023-06-01,145,11.14,0.9015,4.18
2023-06-01,146,4.13,2.9817,10.57
2023-06-01,147,6.73,6.9961,15.51
2023-06-01,148,6.59,6.6784,21.38
2023-06-01,149,47.27,16.5443,20.59
2023-06-01,150,49.06,-4.3092,14.21
2023-06-01,151,18.78,9.1346,5.17
2023-06-01,152,2.6,5.9356,1.64
2023-06-01,153,15.81,5.5919,28.84
2023-06-01,154,11.92,5.6375,29.08
2023-06-01,155,40.66,2.3081,3.98
2023-06-01,156,17.4,2.3257,28.04
2023-06-01,157,49.46,3.9567,4.95
2023-06-01,158,43.36,-2.9338,28.76
2023-06-01,159,32.22,0.0612,19.98
2023-06-01,160,42.85,-8.8035,17.76
2023-06-01,161,16.64,-1.7934,18.55
2023-06-01,162,1.49,-15.4663,2.58
2023-06-01,163,22.67,2.0134,23.73
2023-06-01,164,27.48,-2.0572,1.15
2023-06-01,165,34.26,-10.0266,9.37
2023-06-01,166,26.62,-5.3506,14.89
2023-06-01,167,1.36,-4.879,27.23
2023-06-01,168,30.56,5.9137,29.57
2023-06-01,169,8.67,-2.638,18.37
2023-06-01,170,37.16,1.2441,17.87
2023-06-01,171,25.57,5.4683,19.17
2023-06-01,172,39.68,7.0939,20.73
2023-06-01,173,31.14,3.732,21.76
2023-06-01,174,46.34,-1.2046,18.19
2023-06-01,175,40.42,-1.7051,28.71
2023-06-01,176,24.73,6.0673,20.75
2023-06-01,177,49.86,0.8401,8.46
2023-06-01,178,32.35,4.271,8.44
2023-06-01,179,18.94,3.1021,27.75
2023-06-01,180,9.25,-2.0483,25.97
2023-06-01,181,38.54,-0.072,10.21
2023-06-01,182,14.93,-1.8908,3.15
2023-06-01,183,43.0,-0.9674,20.1
2023-06-01,184,35.04,0.3399,2.54
2023-06-01,185,6.44,-1.9956,16.48
2023-06-01,186,22.73,2.8183,27.57
2023-06-01,187,42.54,-7.8039,16.19
2023-06-01,188,32.77,5.5113,21.3
2023-06-01,189,15.39,3.9205,5.01
2023-06-01,190,21.57,-3.5903,12.69
2023-06-01,191,32.85,4.5141,8.46
2023-06-01,192,1.29,-4.0426,13.98
2023-06-01,193,3.56,4.5559,13.71
2023-06-01,194,28.56,-3.3367,22.0
2023-06-01,195,46.04,2.6491,7.89
2023-06-01,196,18.61,3.7213,11.65
2023-06-01,197,4.06,2.2717,24.0
2023-06-01,198,26.26,3.25,10.29
2023-06-01,199,11.63,-1.6389,1.55
2023-06-01,200,39.34,6.3859,28.62
2023-06-01,201,8.4,-5.8042,25.63
2023-06-01,202,16.65,-2.418,26.3
2023-06-01,203,22.23,-0.6809,19.92
2023-06-01,204,49.54,0.4707,5.82
2023-06-01,205,42.14,-8.6715,15.01
2023-06-01,206,1.57,-5.1633,11.22
2023-06-01,207,28.72,4.1358,18.08
2023-06-01,208,48.73,2.5655,19.5
2023-06-01,209,15.12,5.1068,7.9
2023-06-01,210,19.04,-5.171,15.82
2023-06-01,211,25.71,6.2728,12.82
2023-06-01,212,46.11,-4.1725,26.05
2023-06-01,213,26.21,4.833,20.91
2023-06-01,214,48.03,-0.6799,22.44
2023-06-01,215,9.77,3.1776,2.01
2023-06-01,216,47.16,-3.5581,23.63
2023-06-01,217,12.59,10.0267,27.05
2023-06-01,218,13.57,2.3244,10.78
2023-06-01,219,41.84,2.2297,23.6
2023-06-01,220,21.9,3.791,11.12
2023-06-01,221,12.56,-11.2459,19.2
2023-06-01,222,6.08,-2.0923,20.31
2023-06-01,223,37.3,-4.8524,3.92
2023-06-01,224,14.14,0.8304,13.81
2023-06-01,225,11.61,-0.592,3.78
2023-06-01,226,18.52,-1.975,21.98
2023-06-01,227,8.9,-4.3923,18.8
2023-06-01,228,38.3,-0.0126,0.99
2023-06-01,229,15.71,-0.4652,6.52
2023-06-01,230,18.9,-6.4333,15.64
2023-06-01,231,18.97,-4.754,3.4
2023-06-01,232,40.65,-3.5883,2.44
2023-06-01,233,5.19,-0.2069,29.7
2023-06-01,234,21.39,-3.6864,27.65
2023-06-01,235,37.05,3.2785,22.94
2023-06-01,236,44.48,9.1606,21.43
2023-06-01,237,11.67,-9.448,0.45
2023-06-01,238,39.35,5.7025,27.45
2023-06-01,239,34.85,-2.4657,23.01
2023-06-01,240,16.59,-3.9119,5.98
2023-06-01,241,33.68,1.604,0.75
2023-06-01,242,14.17,-0.8747,17.64
2023-06-01,243,3.28,-4.5329,19.98
2023-06-01,244,10.7,-0.2899,1.06
2023-06-01,245,9.05,-5.3592,13.59
2023-06-01,246,48.82,-0.2059,0.29
2023-06-01,247,43.42,3.8687,15.84
2023-06-01,248,12.61,2.5667,17.31
2023-06-01,249,2.82,4.631,0.69
2023-06-01,250,47.69,2.5484,20.9
2023-06-01,251,26.32,4.3612,12.83
2023-06-01,252,41.37,-1.9714,28.83
2023-06-01,253,39.27,5.4138,0.16
2023-06-01,254,28.1,-2.9646,25.89
2023-06-01,255,33.45,-5.7304,4.15
2023-06-01,256,10.7,-1.677,3.44
2023-06-01,257,36.82,-3.4206,3.66
2023-06-01,258,21.01,-4.4586,18.55
2023-06-01,259,22.32,3.9225,22.79
2023-06-01,260,40.33,-3.1564,9.0
2023-06-01,261,41.49,1.8404,24.69
2023-06-01,262,27.39,-8.925,13.29
2023-06-01,263,43.84,6.3377,0.93
2023-06-01,264,15.53,0.6754,29.01
2023-06-01,265,7.39,-5.6632,8.51
2023-06-01,266,33.32,-5.2487,24.75
2023-06-01,267,39.8,1.1814,18.39
2023-06-01,268,4.6,8.313,25.62
2023-06-01,269,40.0,-3.5971,21.13
2023-06-01,270,45.36,4.8913,24.84
2023-06-01,271,16.78,-3.8477,7.83
2023-06-01,272,43.46,-7.1075,23.38
2023-06-01,273,46.09,3.8915,0.99
2023-06-01,274,9.59,-2.3702,8.99
2023-06-01,275,16.02,-4.3013,7.48
2023-06-01,276,42.3,-9.9433,26.8
2023-06-01,277,25.02,-2.6057,28.59
2023-06-01,278,22.54,4.8236,3.92
2023-06-01,279,20.86,-3.7724,28.38
2023-06-01,280,36.89,4.2423,27.59
2023-06-01,281,39.6,2.7431,0.98
2023-06-01,282,20.23,-12.6556,6.02
2023-06-01,283,26.43,3.8404,6.3
2023-06-01,284,39.4,-4.2283,17.25
2023-06-01,285,22.32,-1.0705,20.99
2023-06-01,286,7.63,-2.1091,25.92
2023-06-01,287,22.95,3.5548,8.92
2023-06-01,288,48.38,-1.2745,5.17
2023-06-01,289,22.32,-1.7384,0.34
2023-06-01,290,45.79,-1.864,7.38
2023-06-01,291,41.74,0.0204,18.35
2023-06-01,292,34.14,2.4051,10.75
2023-06-01,293,11.13,2.1394,25.51
2023-06-01,294,35.25,-2.0132,12.95
2023-06-01,295,21.38,-0.5954,14.24
2023-06-01,296,6.27,4.4478,6.06
