grid_id,lat_center,lon_center,lat_min,lat_max,lon_min,lon_max
0,6.125,68.125,6.0,6.25,68.0,68.25
1,6.125,68.375,6.0,6.25,68.25,68.5
2,6.125,68.625,6.0,6.25,68.5,68.75
3,6.125,68.875,6.0,6.25,68.75,69.0
4,6.125,69.125,6.0,6.25,69.0,69.25
5,6.125,69.375,6.0,6.25,69.25,69.5
6,6.125,69.625,6.0,6.25,69.5,69.75
7,6.125,69.875,6.0,6.25,69.75,70.0
8,6.125,70.125,6.0,6.25,70.0,70.25
9,6.125,70.375,6.0,6.25,70.25,70.5
10,6.125,70.625,6.0,6.25,70.5,70.75
11,6.125,70.875,6.0,6.25,70.75,71.0
12,6.125,71.125,6.0,6.25,71.0,71.25
13,6.125,71.375,6.0,6.25,71.25,71.5
14,6.125,71.625,6.0,6.25,71.5,71.75
15,6.125,71.875,6.0,6.25,71.75,72.0
16,6.125,72.125,6.0,6.25,72.0,72.25
17,6.125,72.375,6.0,6.25,72.25,72.5
18,6.125,72.625,6.0,6.25,72.5,72.75
19,6.125,72.875,6.0,6.25,72.75,73.0
20,6.125,73.125,6.0,6.25,73.0,73.25
21,6.125,73.375,6.0,6.25,73.25,73.5
22,6.125,73.625,6.0,6.25,73.5,73.75
23,6.125,73.875,6.0,6.25,73.75,74.0
24,6.125,74.125,6.0,6.25,74.0,74.25
25,6.125,74.375,6.0,6.25,74.25,74.5
26,6.125,74.625,6.0,6.25,74.5,74.75
27,6.125,74.875,6.0,6.25,74.75,75.0
28,6.125,75.125,6.0,6.25,75.0,75.25
29,6.125,75.375,6.0,6.25,75.25,75.5
30,6.125,75.625,6.0,6.25,75.5,75.75
31,6.125,75.875,6.0,6.25,75.75,76.0
32,6.125,76.125,6.0,6.25,76.0,76.25
33,6.125,76.375,6.0,6.25,76.25,76.5
34,6.125,76.625,6.0,6.25,76.5,76.75
35,6.125,76.875,6.0,6.25,76.75,77.0
36,6.125,77.125,6.0,6.25,77.0,77.25
37,6.125,77.375,6.0,6.25,77.25,77.5
38,6.125,77.625,6.0,6.25,77.5,77.75
39,6.125,77.875,6.0,6.25,77.75,78.0
40,6.125,78.125,6.0,6.25,78.0,78.25
41,6.125,78.375,6.0,6.25,78.25,78.5
42,6.125,78.625,6.0,6.25,78.5,78.75
