Feature,Data_Type,Non_Null_Count,Null_Count,Null_Percent,Min,Max,Mean,Median,Std,Skewness,Correlation_with_Target
lat_center,float64,30718,0,0.0,6.125,37.875,21.998966404062763,21.875,9.236885227201986,5.1628864759053074e-06,0.21093605213564057
lon_center,float64,30718,0,0.0,68.125,97.875,82.99903151246826,82.875,8.659544354816466,5.50425583160846e-06,0.19009510128029608
rain_mm,float32,30718,0,0.0,0.0,422.7109375,13.390653610229492,2.988527297973633,25.74578857421875,4.753518581390381,1.0
wind_speed,float32,30718,0,0.0,1.547917366027832,42.71878433227539,20.62672996520996,21.176715850830078,9.767778396606445,-0.05063879117369652,-0.17725311055260198
lst_k,float64,30718,0,0.0,200.0,287.0863782962163,200.55355781645585,200.0,5.016785075558591,10.475516173407085,-0.05736708464576594
cer,float64,30718,0,0.0,0.0010459183439688008,21.95291617598074,4.499932770770765,3.7814641529947934,3.035252446029144,1.288057066908633,0.006377724105937796
cot,float64,30718,0,0.0,0.000518707471399157,24.91192121188264,4.642771026382735,3.389562755517529,3.699733348284025,1.4249951476395213,-0.0017240998721428356
uth,float32,30718,0,0.0,0.0,99.57503509521484,51.37932205200195,55.33403396606445,21.835304260253906,-1.2167965173721313,-0.25403400875763676
olr,float32,30718,0,0.0,107.81777954101562,276.68560791015625,200.88931274414062,200.55813598632812,36.48697280883789,-0.07606381922960281,-0.602406609464138
hem,float32,30718,0,0.0,0.0,728.62060546875,13.610527992248535,2.949364185333252,34.90287399291992,7.310051918029785,0.868957081297531
